Token,Frequency (in %)
married,0.056489196441180625
It,0.5135381494652783
loss,0.02952844359425351
first,0.2631883016009552
brought,0.06932765017781259
grief,0.00641922686831598
beloved,0.011554608362968764
sat,0.04750227882553825
mournful,0.001283845373663196
thought,0.2888652090742191
continuance,0.002567690747326392
wedding,0.010270762989305567
gone,0.10013993914572929
left,0.08730148540909732
dine,0.01925768060494794
prospect,0.016689989857621546
third,0.005135381494652784
cheer,0.005135381494652784
evening,0.11939761975067723
composed,0.007703072241979176
sleep,0.002567690747326392
dinner,0.052637660320191036
usual,0.06419226868315979
sit,0.04878612419920145
lost,0.024393062099600724
event,0.02952844359425351
every,0.510970458717952
promise,0.026960752846927116
happiness,0.0962884030247397
Weston,0.5507696653015111
man,0.29528443594253506
unexceptionable,0.008986917615642373
character,0.05392150569385423
easy,0.03594767046256949
fortune,0.046218433451875054
suitable,0.005135381494652784
age,0.028244598220590313
pleasant,0.04878612419920145
manners,0.06675995943048618
satisfaction,0.034663825088906294
considering,0.02182537135227433
generous,0.005135381494652784
friendship,0.03337997971524309
always,0.3017036628108511
wished,0.060340732562170214
promoted,0.005135381494652784
match,0.03337997971524309
black,0.00641922686831598
morning,0.137371454981962
work,0.024393062099600724
want,0.11426223825602444
would,1.0437662887881785
felt,0.14250683647661477
hour,0.0975722483984029
day,0.20284756903878498
recalled,0.002567690747326392
past,0.02567690747326392
kindness,0.04878612419920145
sixteen,0.008986917615642373
taught,0.008986917615642373
played,0.010270762989305567
five,0.04750227882553825
old,0.10655916601404528
devoted,0.00641922686831598
powers,0.017973835231284745
attach,0.00641922686831598
amuse,0.010270762989305567
health,0.04365074270454866
nursed,0.003851536120989588
various,0.007703072241979176
illnesses,0.003851536120989588
childhood,0.002567690747326392
A,0.1579129809605731
large,0.042366897330885465
debt,0.001283845373663196
gratitude,0.03723151583623269
owing,0.003851536120989588
intercourse,0.015406144483958353
last,0.15277759946592032
seven,0.00641922686831598
equal,0.07189534092513898
footing,0.003851536120989588
perfect,0.042366897330885465
unreserve,0.007703072241979176
soon,0.2824459822059031
followed,0.03723151583623269
Isabella,0.08858533078276053
yet,0.13608760960829877
dearer,0.00641922686831598
tenderer,0.001283845373663196
recollection,0.010270762989305567
companion,0.034663825088906294
possessed,0.003851536120989588
intelligent,0.005135381494652784
useful,0.026960752846927116
knowing,0.03337997971524309
ways,0.020541525978611135
interested,0.01925768060494794
concerns,0.011554608362968764
peculiarly,0.01283845373663196
pleasure,0.14507452722394115
scheme,0.02952844359425351
one,0.5238089124545839
could,1.0578885878984736
speak,0.12581684661899323
arose,0.005135381494652784
never,0.44549434466112897
find,0.0950045576510765
fault,0.02567690747326392
How,0.13865530035562518
bear,0.06547611405682299
change,0.07831456779345496
true,0.07446303167246537
going,0.15149375409225713
half,0.12581684661899323
mile,0.014122299110295156
aware,0.03337997971524309
great,0.33636748789975734
must,0.7228049453723793
difference,0.03851536120989588
advantages,0.015406144483958353
natural,0.06419226868315979
domestic,0.008986917615642373
suffering,0.020541525978611135
intellectual,0.003851536120989588
solitude,0.003851536120989588
dearly,0.002567690747326392
loved,0.034663825088906294
He,0.5661758097854694
meet,0.04108305195722227
conversation,0.05392150569385423
rational,0.023109216725937527
playful,0.002567690747326392
evil,0.04108305195722227
actual,0.003851536120989588
disparity,0.008986917615642373
ages,0.002567690747326392
increased,0.015406144483958353
constitution,0.008986917615642373
habits,0.015406144483958353
valetudinarian,0.001283845373663196
life,0.0975722483984029
without,0.2708913738429344
activity,0.005135381494652784
mind,0.1617645170815627
body,0.24649831174333364
older,0.010270762989305567
though,0.21696986814908012
everywhere,0.002567690747326392
friendliness,0.003851536120989588
heart,0.08344994928810774
amiable,0.04365074270454866
talents,0.010270762989305567
recommended,0.011554608362968764
time,0.34407056014173654
comparatively,0.002567690747326392
removed,0.01283845373663196
matrimony,0.008986917615642373
settled,0.050069969572864644
London,0.05777304181484382
miles,0.02182537135227433
beyond,0.06675995943048618
daily,0.01283845373663196
reach,0.008986917615642373
October,0.005135381494652784
November,0.00641922686831598
struggled,0.002567690747326392
Hartfield,0.20541525978611136
Christmas,0.014122299110295156
next,0.08088225854078135
visit,0.10912685676137165
husband,0.04365074270454866
children,0.07189534092513898
fill,0.002567690747326392
give,0.20156372366512176
society,0.060340732562170214
Highbury,0.15919682633423632
populous,0.002567690747326392
village,0.002567690747326392
almost,0.11169454750869805
amounting,0.001283845373663196
town,0.02952844359425351
spite,0.030812288967916705
separate,0.014122299110295156
lawn,0.005135381494652784
shrubberies,0.002567690747326392
name,0.06932765017781259
really,0.196428342170469
belong,0.01925768060494794
afforded,0.010270762989305567
equals,0.001283845373663196
Woodhouses,0.005135381494652784
All,0.01283845373663196
looked,0.11682992900335083
acquaintance,0.08088225854078135
universally,0.005135381494652784
civil,0.016689989857621546
among,0.06547611405682299
accepted,0.01283845373663196
lieu,0.001283845373663196
even,0.1566291355869099
melancholy,0.015406144483958353
sigh,0.024393062099600724
wish,0.17075143469720508
impossible,0.04750227882553825
things,0.07703072241979177
till,0.12196531049800362
awoke,0.001283845373663196
made,0.255485229358976
necessary,0.046218433451875054
cheerful,0.03594767046256949
His,0.07317918629880217
spirits,0.08216610391444454
required,0.017973835231284745
support,0.010270762989305567
nervous,0.014122299110295156
easily,0.017973835231284745
depressed,0.007703072241979176
used,0.06290842330949661
hating,0.002567690747326392
part,0.08216610391444454
kind,0.0975722483984029
Matrimony,0.001283845373663196
origin,0.005135381494652784
reconciled,0.010270762989305567
daughter,0.07574687704612856
marrying,0.03337997971524309
ever,0.24264677562234405
compassion,0.016689989857621546
entirely,0.050069969572864644
obliged,0.0975722483984029
selfishness,0.005135381494652784
able,0.09115302153008692
suppose,0.10270762989305568
people,0.11811377437701404
feel,0.12196531049800362
differently,0.014122299110295156
disposed,0.02567690747326392
done,0.17973835231284743
sad,0.032096134341579895
thing,0.5058350772232992
deal,0.11811377437701404
happier,0.01283845373663196
spent,0.026960752846927116
rest,0.06290842330949661
smiled,0.020541525978611135
chatted,0.001283845373663196
cheerfully,0.010270762989305567
keep,0.04108305195722227
thoughts,0.04750227882553825
tea,0.02952844359425351
say,0.3954243750882644
exactly,0.06547611405682299
said,0.6200973154793237
Poor,0.03851536120989588
What,0.13095222811364599
pity,0.03337997971524309
agree,0.01925768060494794
papa,0.03723151583623269
know,0.43008820017717064
thoroughly,0.024393062099600724
deserves,0.007703072241979176
good,0.3813020759779692
wife,0.08601764003543413
live,0.02182537135227433
us,0.18358988843383703
odd,0.032096134341579895
humours,0.002567690747326392
might,0.4121143649458859
But,0.3761666944833164
advantage,0.034663825088906294
This,0.13865530035562518
three,0.07959841316711816
times,0.03594767046256949
And,0.2875813637005559
dear,0.2785944460849135
often,0.11554608362968764
shall,0.27217521921659754
see,0.2824459822059031
coming,0.11169454750869805
We,0.11426223825602444
meeting,0.050069969572864644
begin,0.03851536120989588
go,0.1630483624552259
pay,0.032096134341579895
My,0.13865530035562518
get,0.08601764003543413
far,0.08986917615642372
Randalls,0.11297839288236125
distance,0.032096134341579895
walk,0.06675995943048618
No,0.1604806717078995
nobody,0.06804380480414939
walking,0.05777304181484382
carriage,0.08344994928810774
sure,0.25805292010630243
James,0.024393062099600724
like,0.25163369323798646
put,0.07831456779345496
horses,0.02952844359425351
poor,0.13608760960829877
paying,0.014122299110295156
They,0.190009115302153
stable,0.002567690747326392
You,0.38900514821994836
already,0.056489196441180625
talked,0.08473379466177093
night,0.050069969572864644
may,0.2734590645902607
housemaid,0.001283845373663196
doubt,0.12581684661899323
whether,0.07831456779345496
take,0.14892606334493075
anywhere,0.017973835231284745
else,0.10142378451939249
That,0.0975722483984029
got,0.046218433451875054
Hannah,0.002567690747326392
Nobody,0.024393062099600724
mentioned,0.03337997971524309
glad,0.06290842330949661
